区域,所属产品,模块,场景名称,场景等级,接口名称,涉及接口
国内,蜜雪小程序/支付宝小程序/Android/IOS,权益管理,权益管理,P2,尊享权益,/v2/memberRights/exclusive
国内,蜜雪小程序/支付宝小程序/Android/IOS,权益管理,权益管理,P1,会员权益详情,/v2/memberRights/h5/detail
国内,蜜雪小程序/支付宝小程序/Android/IOS,权益管理,权益管理,P2,霸屏互动开关,/v2/memberRights/h5/screenChange
国内,蜜雪小程序/支付宝小程序/Android/IOS,权益管理,权益管理,P1,会员领取优惠券,/v2/memberRights/h5/getCoupons
国内,蜜雪小程序/支付宝小程序/Android/IOS,消息推送,消息推送,P1,甜蜜咨讯-分页列表,/v1/msg/listPageOfNews
国内,蜜雪小程序/支付宝小程序/Android/IOS,消息推送,消息推送,P2,客户端注册,/v1/msgpush/reg
国内,蜜雪小程序/支付宝小程序/Android/IOS,消息推送,消息推送,P2,增加点击数,/v1/msgpush/click
国内,蜜雪小程序/支付宝小程序/Android/IOS,消息推送,消息推送,P2,订单状态通知,/freemud/message-center
国内,蜜雪小程序/支付宝小程序/Android/IOS,消息推送,消息推送,P2,非码退单-短信通知店老板,/freemud/sendSms
国内,蜜雪小程序/支付宝小程序/Android/IOS,消息推送,消息推送,P1,梦网短信状态通知,/montnets/stateNotify
国内,蜜雪小程序/支付宝小程序/Android/IOS,NFT管理,NFT管理,P1,查询状态,v1/nft/status
国内,蜜雪小程序/支付宝小程序/Android/IOS,NFT管理,NFT管理,P1,我的藏品列表,v1/nft/myList
国内,蜜雪小程序/支付宝小程序/Android/IOS,NFT管理,NFT管理,P1,详情,v1/nft/info/{id}
国内,蜜雪小程序/支付宝小程序/Android/IOS,NFT管理,NFT管理,P2,铸造,v1/nft/mint
国内,蜜雪小程序/支付宝小程序/Android/IOS,订单管理,订单管理,P0,用户申请退单,/v1/order/refund
国内,蜜雪小程序/支付宝小程序/Android/IOS,文件管理,文件管理,P2,用户头像上传,/v1/image/upload
国内,蜜雪小程序/支付宝小程序/Android/IOS,文件管理,文件管理,P2,情侣证图片上传,/v1/couples/upload
国内,蜜雪小程序/支付宝小程序/Android/IOS,文件管理,文件管理,P2,百变雪王图片上传,/v1/snow/upload
国内,蜜雪小程序/支付宝小程序/Android/IOS,文件管理,文件管理,P2,身份证上传,/v1/upload/idCard
国内,蜜雪小程序/支付宝小程序/Android/IOS,活动管理,活动管理,P1,预热活动页-详情,/v1/preheat/info/{id}
国内,蜜雪小程序/支付宝小程序/Android/IOS,活动管理,活动管理,P2,h5活动页上报订阅消息并发送优惠券,/v1/preheat/reportAndSend
国内,蜜雪小程序/支付宝小程序/Android/IOS,订单管理,订单管理,P1,查询次卡订单列表,/v1/prepaid-card/order-info/list
国内,蜜雪小程序/支付宝小程序/Android/IOS,订单管理,订单管理,P1,查询次卡订单详情,/v1/prepaid-card/order-info/detail
国内,蜜雪小程序/支付宝小程序/Android/IOS,订单管理,订单管理,P0,保存次卡订单,/v1/prepaid-card/order-info/save
国内,蜜雪小程序/支付宝小程序/Android/IOS,订单管理,订单管理,P0,取消次卡订单,/v1/prepaid-card/order-info/cancel
国内,蜜雪小程序/支付宝小程序/Android/IOS,订单管理,订单管理,P0,发起次卡支付,/v1/prepaid-card/order-info/pay
